word,meaning
recess,n. 1休会期 2课间休息 3休庭 v.休会
diminish,"v. 减少,降低"
trajectory,"n. (具体+抽象)轨迹,弹道"
intern,n. 实习生;实习医师
nutritional,"adj. 营养的,营养学的"
etiquette,"n. 礼仪,礼节"
harmless,adj. 无害的;无恶意的
conceive,"v. 1构想,想象 2怀孕"
incorporate,"v. 使并入,融入"
edit,v. 编辑;剪辑
accusation,"n.控告,起诉;指责"
luxurious,"adj.奢侈的,豪华的,十分舒适的"
hemisphere,n.半球
temper,n.脾气v.使缓和
mild,adj.温和的(天气、人、情感、食物)
contend,v.认为
effectiveness,"n.有效性,效果"
neuroscientist,n.神经系统科学家
workshop,"n.1车间,作坊,工作室2研讨会"
naval,adj. 海军的
oriented,adj.以......为方向的;重视......的
fog,n.雾
tongue,n.舌头;语言
bat,"n.1蝙蝠2球棒,球拍v.用球棒击球"
tape,n.1磁带 2胶带 3终点线v.把......录在磁带上
relive,"v. (尤指在想象中)再次体验,重温"
proneness,n. 倾向
dull,"adj. 枯燥的,无聊的"
concrete,"n. 混凝土adj. 1具体的 2有形的,实在的"
marathon,n. 马拉松赛跑
registration,"n.登记,注册,挂号"
cleaner,"n. 清洁工;吸尘器,清洁剂"
cub,n.(熊、狮、狐狸等的)幼崽
repetitive,adj.重复的;重复乏味的
fulfilment,"n.实现,履行;满足,成就感"
irrigation,n.灌溉
orbit,n. 轨道 v. 沿轨道运行
bake,"v.烘焙,烤制"
doer,"n. 实干的人,实行者,做......的人"
conviction,"n. 定罪,证明有罪;坚定的信念,信仰"
shorthand,n. 速记(法)
outnumber,"v. 数量上超过,比......多"
rail,"n. 轨道,铁轨"
hook,n. 钩子;鱼钩v. 钩住;钓(鱼)
row,"n. 1行,列 2划船v.划船"
fierce,adj. 1(人、动物)凶恶的2(动作、情感)强烈的3(天气、温度)恶劣的
curse,v. 诅咒;咒骂n. 诅咒;祸害
sunburn,n. 晒斑;晒伤(的状态)
reap,v. 1 收割(庄稼) = harvest2取得(成果);收获
clarity,"n. 清晰,清楚,明确"
coin,n. 硬币v. 1造(硬币)2创造(新词语)
sedentary,"adj. 1久坐不动的2(人或动物)定居的,不迁徙的"
comprehensive,adj. 全面的
grasp,"v. 1抓紧,抓住 = grip2理解,掌握 = understandn.紧抓;理解,领会"
plain,"n. 平原adj. 1普通的 = ordinary2清楚的,浅显的"
illegal,adj. 不合法的
GNP,n.国生产总值
squeeze,v. 挤压;捏
mobility,"n. 活动性,流动性"
uniform,n. 制服;校服adj. 一致的
marine,"adj. 海洋的,海产的,海生的n. 海军陆战士兵"
proposition,"n. 1提议,建议2主张,观点3(美国)法律修正议案"
affair,"n.事件,事情,事务"
optimism,"n. 乐观,乐观主义"
cable,"n. 1电缆,缆绳,钢索2有线电视"
horror,n. 恐惧;震惊
caregiver,"n.看护者,护理人员"
resistance,"n.反对,抵制,抵抗"
nonsense,"n.谬论,胡扯,胡言乱语"
extract,v. 提取;提炼 /ɪkˈstrækt/n.提取物;摘录;选录 /ˈekstrækt/
stamp,"n. 1邮票;2 印章;戳 3痕迹;烙印v. 跺脚,重踩;盖(章)"
refrain,"v. 克制,忍住;避免"
attorney,n. 1律师2(业务或法律事务上的)代理人
coastal,"adj.沿海的,靠近海岸的"
paperback,"n. 平装书,简装书"
transformation,"n. (彻底的)变化,转变"
prime,adj. 1主要的; 2优质的; 3典型的n. 年富力强的时期; 鼎盛时期v.事先准备
empire,"n. 1帝国2大企业,企业集团"
passionate,adj. 热情的
civilised,"adj. 1(社会)文明的,开化的2(人)有礼貌的,有教养的"
pediatrics,n. 儿科
pale,adj. 1(人、脸色)苍白的2浅色的3(光线)暗淡的
virtual,"adj 1几乎。。。的事实上的,实际上的2(计算机、互联网)虚拟的"
accommodate,v. 1提供住宿2 容纳3 适应(新情况)
permit,v. 允许;使有可能 n.许可证
rigorous,"adj. 1彻底的, 细致的 = thorough2 严格的 = strict"
weakness,"n.缺点, 不足"
lobby,"n.大厅,大堂;休息室;会客室"
yen,n.日元
lengthen,"v.(使)变长,延长"
branch,"n.树枝;分行,分部,分店;支路,支流"
handicraft,n. 1手工艺 2手工艺品
enrol,"v. (使)注册,登记,报名"
NASA,abbr.美国国家航空航天局
tour,n. 1旅行;游览;游览;参观2巡回比赛(或演出等)v. 在...旅游;在...巡回演出
porter,"n. (尤指火车站、机场或旅馆)行李员,搬运工"
faulty,"adj.有错误的,有缺陷的,出故障的"
seed,"n. 1种子,籽2(事物的)起源,起因,开端"
captain,"n. 船长,机长,队长;上校,上尉含义"
prominent,"adj. 重要的,著名的;显眼的,显著的"
readily,adv. 1 快捷地;轻而易举地2欣然地;乐意地
practitioner,"n.(尤指医学或法律界的)从业人员,执业者"
clinical,"adj. 临床的,临床诊断的"
idle,"adj. 1懒惰的2(机器、工厂、人)没工作的,闲着的v.无所事事,闲荡"
collaborative,adj. 合作的
enterprise,"n. 1公司,企业2(尤指艰巨而重大的)规划,事业3事业心"
hybrid,n. 杂交种;混合物adj. 杂交的;混合的
demo,"n. 1试样唱片,录音样带;2演示物,小样"
astonishing,"adj.令人惊讶的,惊人的"
multimedia,n. 多媒体技术(应用)adj.多媒体的
glance,"v. 1匆匆一看,扫视2浏览,粗略地看n.扫视"
impressive,adj. 给人留下深刻印象的
couch,n.沙发
accompany,"v.陪伴;伴随,与......同时发生;伴奏"
surf,v.冲浪
functionality,n.功能性;实用性
utilise,"v.利用,运用,使用"
breath,"n. 呼吸,呼气"
syndicate,"n. 联合组织,财团"
tap,n. 水龙头;轻击v. 轻敲
usage,"n. 使用,利用;用法"
lifelong,"adj.终身的,毕生的"
attendance,"n.1出席,出勤,到场,参加2出席人数"
offence,n.犯罪
swing,"n.1秋千 2摆动v.(使)摇摆,使摆动;转动"
invasion,"n.侵略,侵犯"
mirage,n.1海市蜃楼2幻想
consultancy,n.咨询公司
trail,"n.1痕迹,踪迹2(乡间的)小路,小径v.拖;追踪"
dynamic,adj. 1(人)充满活力的2动态的;发展变化的3力的;动力的
suitable,"adj.合适的,适宜的,适当的"
avenue,"n. 1大街;林荫道2途径,手段"
sake,n. 目的;利益;理由
soar,v. 1翱翔2猛增
regulator,n. (某行业等的)监管者
downturn,"n. (经济)衰退,下降,衰退期"
pension,"n.退休金,养老金,抚恤金"
inspiration,n.灵感;启发灵感的人(或事物)
competent,"adj.有能力的,足以胜任的"
determination,"n. 决心, 坚定; 决定"
breast,n. 胸部
prevention,"n. 预防,防止"
willingness,"n. 乐意, 意愿"
ignorant,"adj. 无知的, 愚昧的"
seemingly,adv. 看似
rocky,adj. 1多岩石的2不稳定的; 艰难的
lengthy,"adj. 很长的,漫长的"
upside,"n.(糟糕局面的)好的一面,正面"
possess,v.拥有
extensive,"adj.广泛的,广阔的(具体、抽象)"
suspend,v. 1悬;挂;吊2暂停;中止
invitation,n. 1邀请2请帖3怂恿(做坏事)
fetch,"v. (去)拿来,(去)请来;卖得(某价)"
logical,adj. 符合逻辑的
hardship,n. 艰难
liver,n. 肝脏
chronic,adj. 慢性的
metabolism,n. 新陈代谢
activate,"v. 激活,启动,使活动"
pathway,n. 路径(具体、抽象)
ounce,"n. 1 盎司(重量单位)2 少量,一点点"
gentle,adj. 温柔的;温和的;平缓的
thereby,"adv. 因此,从而"
downsize,"v. 裁员,缩小规模"
simplicity,n. 简洁;淳朴
subsequent,"adj. 随后的,后来的"
oral,adj. 1口头的2口腔的
examination,n. 1考试2 (仔细的)检查
pure,"adj.纯的;纯净的;纯洁的;完全的,纯粹的"
garage,n. 1车库 2汽车修理厂
consultant,n.顾问
qualification,n. 资格
secondary,adj. 1中学的2次要的3间接的
minority,"n. 1少数,少数人2少数民族3(法律)未成年"
apparent,"adj. 明显的,显而易见的"
slide,"v. 1(使)滑行,滑动2衰退、贬值n. 滑行;降低;幻灯片"
fame,n. 名声
interdependence,n. 相互依赖
consequently,"adv. 因此,所以,结果"
fade,"v. 1(使)变淡,变暗2(+away)逐渐消逝3(运动员、运动队、演员等)走下坡路,衰退,衰落"
grateful,"adj. 感激的,表示感谢的"
cling,"v. 1抓紧,紧握 = hold2粘在,附着3(情感)依恋,依附"
prejudice,n.偏见 v.怀有偏见
diverse,adj. 多种多样的
dormitory,n.学生宿舍
vulnerability,"n.易碎性,脆弱性;弱点"
retain,"v.保持,保留,持有"
experimental,adj.实验性的;科学实验的
indication,"n.表现,显示,象征"
scandal,n.丑闻;流言蜚语
logic,n.逻辑;逻辑学
recipe,n. 1 食谱2方法
flavour,n.味道
vain,"adj. 1徒劳的,无果的 = useless2自负的,自视过高的"
cooperative,"adj.合作的;配合的,乐意合作的"
measurable,"adj. 1可测量的2显著的,有明显影响的含义"
overnight,adv.在夜间;一夜之间adj.夜间的;突然的
likewise,adv. 同样地
habitat,n. 栖息地
rural,adj. 农村的
invade,v.入侵
friendliness,n.友好
horrible,"adj.极坏的,糟糕的;恐怖的"
custard,n.蛋奶沙司;蛋挞
alongside,"prep. adv.在旁边,沿着;与......一起"
chip,"n. 1炸薯条;土豆片(美)2芯片3(木头、玻璃等上掉下来的)碎屑,碎片,碎渣v. 1打破;弄缺2削下,凿下(碎片、屑片)"
hierarchy,n. 等级制度
refresh,"v. 使恢复精力;提醒,使想起;刷新"
oxygen,n. 氧气
collaborate,"v. 合作,协作;通敌,勾结"
justify,v. 证明...正确(或正当、有理)
academia,n. 学术界
bold,"adj. 1(人、行为)大胆的2(字体)粗体的,黑体的n. 黑体,粗体"
outweigh,"v. 重于,大于,超过"
inquiry,n. 询问;打听
equivalent,"adj. (价值、数量、意义、重要性等)相等的,相同的n. 相等的东西"
inch,"n. 英寸; 少量,短距离"
underline,v. 1画线标出 2强调
handful,n. 一把(的量);少数
latter,"adj. 后者的,后面的;后半期的"
comparison,"n. 比较;对比,相比"
refine,v. 1精炼;提纯;去除杂质2改进;改善;使精练 = improve
remedy,"v. 改正,改进n. 改进措施,解决办法,补救"
assess,"v. 1评估,评定 = evaluate2估算,估价 = estimate"
skip,v. 1跳过(正常的步骤等);略过;漏过2蹦蹦跳跳地走 3跳绳
mortgage,"n. 按揭,抵押贷款 v.抵押"
intervene,"v.干预;插嘴,打断;阻挠"
fatigue,"n. 疲劳,疲惫"
offend,"v. 1冒犯2违背,违反"
halfway,adv. 在中途;到一半adj. 中途的;在中间的
conservative,"adj.(观点、穿着等)保守的,守旧的"
trustworthy,"adj. 值得信任的,可靠的"
resourceful,adj. 足智多谋的
disappointed,"adj. 失望的,沮丧的"
specialise,"v.专门研究或从事,专攻"
outline,"n.1概述,提纲 2轮廓v.概述,勾勒..的轮廓"
laptop,n.笔记本电脑
pile,"n.堆,摞;垛;沓大量v.堆放;蜂拥"
pop,n.流行音乐v.(使)发砰砰声;(使)爆裂
cart,n. 手推车;运货马车
prey,"n. 猎物;受害者v. 捕猎,捕食"
litter,n. (在公共场合乱扔的)垃
Antarctica,n. 南极洲
numerous,"adj.许多的,无数的"
collaboration,"合作,协同"
brew,"v. 酿造,酿酒;沏(茶),煮(咖啡)"
drastic,"adj. 急剧的,极端的,猛烈的"
spray,n. 1浪花;水花;飞沫2喷剂v. 喷
flood,"n. 1洪水,洪灾 2大批,大量v. 淹没,泛滥;挤满"
postdoctoral,adj. 博士后的
jewel,n. 1宝石2珠宝首饰
geoscience,"n.地球科学,地理科学"
dive,v. 1跳水 2潜水 3俯冲n.跳水;潜水;俯冲
medication,"n.药,药物"
garbage,"n. 垃圾,废物;废话"
conscious,"adj. 意识到;有意识的,神志清醒的"
Pacific,adj. 太平洋的n.太平洋
convict,v. 宣判......有罪n. 罪犯
instructor,"n. 导师,教练"
bacon,"n. 培根,咸猪肉"
drought,"n. 干旱,旱灾"
transmit,v. 1发射(信号、广播)= send2传播(疾病、情感)= transfer = pass3传(热、声等);透(光等);使通过
runway,n. 1飞机跑道2 = catwalk T台
index,"n.指标,指数;索引"
innovate,v.创新;改革
coat,"n. 1大衣,外套 2覆盖物v. ~ sth (with/in sth)给...涂上一层;(用...)覆盖"
exposure,n.暴露;揭露
shade,"n. 1树荫,阴凉处 2阴影部分v.遮挡光线"
incidence,n. (尤指坏事的) 发生率
deepen,v. 加深
soil,n. 土壤
disposal,"n. 处理,清除"
ongoing,"adj.仍在进行的,不断发展的"
pollute,"v.污染,弄脏"
decay,"v.衰退,腐烂n.衰退,腐烂"
deadly,"adj. 致命的;彻底的adv. 极其,非常"
legislation,"n.立法,制定法规;法律,法规"
cyclist,n.骑自行车的人
diversity,"n. 1多样性,多元化2不同,差异;"
displace,"v.取代,替代,置换"
commute,"v.通勤,上下班n.通勤路程"
victory,"n. 胜利,成功"
fireplace,n. 壁炉
log,"n. 1 原木 2记录,日志v. 1 记录 = record2采伐(森林的)树木"
considerably,"adv. 非常,很,相当多地"
dryer,n. 烘干机
bride,n. 新娘
enemy,n. 敌人
leap,v.n. 1跳2骤增
potentially,"adv. 可能地,潜在地"
grab,v. 1 抓住2 匆忙地做
bump,"v. 1 (无意地) 碰,撞2 颠簸行进"
string,n. 1 细绳;线2 一串3 (乐器的) 弦v. 系;串在一起
random,"adj. 随机的,随意的"
reproduce,"v. 1复制2再生产,再制造3繁殖"
sword,"n. 剑,刀"
instantly,"adv. 立即,立刻"
reporter,n.记者
solely,"adv.仅仅,只;单独地"
multitasking,"n.同时处理多项任务,同时做多件事"
motel,n.汽车旅馆
cigarette,"n.香烟,烟草"
liberation,"n.解放,自由;解放运动"
premium,n. 1保险费 2额外费用adj. 高昂的;优质的
palm,n. 1手掌 2棕榈树
inclined,"adj. 1想(做某事)=want2有......倾向,很可能=likely to do"
feasible,"adj.可行的,行得通的"
hazy,adj. 1(因为雾霾而)雾蒙蒙的;模糊不清的2记忆模糊的
skeleton,"n. 1骨骼,骨架2框架,梗概"
navigate,v. 导航;航行
tangible,"adj. 1有形的,实际的,切实的2可触摸的;可触知的;可感知的"
troublesome,"adj. 令人烦恼的,讨厌的"
lessen,"v. (使)变小,变少,减弱,减轻"
emergence,n. 出现
definite,"adj. 肯定的,确定的,明确的;明显的"
restructure,"v. 调整结构,改组,重建"
congress,n. 1代表大会2(美国)议会
prosperity,"n.兴旺,繁荣,成功"
widen,"v.使变宽;扩展,扩大"
obliged,"adj. 1必须的,有责任的2感激的"
detective,"n.侦探,警探"
observation,"n. 1观察,观测2(尤指据所见、所闻、所读而作的)评论"
opposition,"n. 反对,反抗;反对党;对手"
reception,"n. 1前台,服务台2(无线电和电视信号的)接收效果"
cabinet,"n. 储藏柜,陈列柜"
protein,n. 蛋白质
misguide,"v. 误导,使误入歧途"
recruitment,n. 招聘
recognition,"n. 1 认出,认识2 认可"
resolution,n. 1决议 2决心
occupy,"v. 使用,占用"
blow,"v. 1(人)吹(气)2刮风n. 猛击;打击,挫折"
checkout,"n.(超级市场的)付款台,付款处"
boom,"n.(贸易和经济活动的)激增,繁荣v. 迅速发展,繁荣昌盛"
comparable,"adj. 相当的,类似的,可比较的"
obstacle,"n. 障碍,阻碍,绊脚石;障碍物"
continuous,"adj. 不断的,持续的,连续的"
selection,"n. 选择,挑选"
envy,"n.v. 羡慕,妒忌"
loyalty,"n. 忠诚,忠实"
spill,"v. (使)洒出,泼出,溢出n. 洒出(量),泼出(量)"
fry,"v. 油炸,油煎,油炒"
sympathetic,"adj.同情的,有同情心的"
inquire,"v. 询问,查询;调查"
frankly,"adv 坦率地,直率地,老实说"
apparently,adv. 显然;貌似
individuality,"n. 个性,个人特征"
stale,"adj. 1不新鲜的2过时的,陈腐的,没有新意的"
overload,"v.使超载,超负荷n.超负荷"
exclusive,"adj. 1专用的,专有的,独有的2高档的;豪华的3不包括;不算;除...外"
scratch,"v.挠;划破,抓伤n.划痕,划伤"
assistance,"n.帮助,援助,支持"
furthermore,"adv.此外,而且"
initially,"adv开始,最初,起初"
senator,n.参议员
morale,"n. 士气,斗志"
steady,adj. 稳定的
endure,"v. 1忍耐,忍受2持续,持久"
connectivity,"n. 连接(度),联结(度)"
wrap,"v. 用...包裹;包(礼物等)n. 披肩,围巾"
tune,"n. 曲调;曲子v. 1为乐器调音;2调频道;3调整,使适合"
folk,"n. 人们;各位;家人adj. 民间的,民俗的"
misunderstanding,"n. 误解,误会"
participation,"n. 参加,参与"
proportion,n. 1部分 2比例
exclude,v. 不包括;防止...进入
intention,"n.打算,意图,目的"
tricky,"adj. 1难办的,难对付的,刁钻的2(人)狡猾的"
occasionally,"adv.偶尔,有时候"
symbolise,"v. 象征,代表"
intensify,"v. 增强,加剧"
elaborate,"adj. 精心制作的,详尽的v.详细阐述"
endless,"adj. 无止境的,无穷无尽的"
tremendous,"adj. 极大的,巨大的"
